Carrera,Universidad,Facultad,Sede,Departamento,Fecha Inicio,Fecha Finalización,Tipo de Universidad
Licenciatura en Administración,Universidad Nacional del Este,Ciencias Administrativas y Contables,Ciudad del Este,Alto Paraná,2017-10-16,2022-10-16,Nacional
Licenciatura en Informática Empresarial,Universidad Nacional de Itapúa,Ciencias y Tecnología,Encarnación,Itapúa,2018-02-14,2023-02-14,Nacional
Administración,Universidad Nacional de Asunción,Ciencias Económicas,San Lorenzo,Central,2018-02-14,2023-02-14,Nacional
Ingeniería Agronómica,Universidad Nacional del Este,Ingeniería Agronómica,Minga Guazú,Alto Paraná,2018-04-23,2023-04-23,Nacional
Licenciatura en Administración de Empresas,Universidad Nihon Gakko,Ciencias Empresariales,Fernando de la Mora,Central,2018-05-31,2023-05-31,Privada
Enfermería,Universidad Tecnológica Intercontinental,Ciencias de la Salud,Caazapá,Caazapá,2018-05-31,2023-05-31,Privada
Contaduría Pública,Universidad Nacional de Pilar,"Ciencias Contables, Administrativas y Económicas",Pilar,Ñeembucu,2018-07-18,2023-07-18,Nacional
Ciencias Contables,Universidad Tecnológica Intercontinental,Ciencias Empresariales,Fernando de la Mora,Central,2018-07-20,2023-07-20,Privada
Derecho,Universidad Autónoma de Luque,Ciencias Jurídicas,Luque,Central,2018-07-20,2023-07-20,Privada
Administración,Universidad Nacional de Itapúa,Ciencias Económicas y Administrativas,Coronel Bogado,Itapúa,2018-07-20,2023-07-20,Nacional
Derecho,Universidad Nacional de Asunción,Derecho y Ciencias Sociales,Coronel Oviedo,Caaguazú,2018-08-07,2023-08-07,Nacional
Ingeniería Industrial,Universidad del Cono Sur de las Américas,Ingeniería,Asunción,Central,2018-08-08,2023-08-08,Privada
Análisis de Sistemas Informáticos,Universidad Tecnológica Intercontinental,Tecnología Informática,San Lorenzo,Central,2018-08-20,2023-08-20,Privada
Administración de Empresas,Universidad Nacional de Caaguazú,Ciencias Económicas,Coronel Oviedo,Caaguazú,2018-08-20,2023-08-20,Nacional
Enfermería,Universidad Tecnológica Intercontinental,Ciencias de la Salud,Caacupé,Cordillera,2018-09-18,2023-09-18,Privada
Ingeniería Industrial,Universidad Americana,"Comunicación, Artes y Ciencias de la Tecnología",Asunción,Central,2018-10-02,2023-10-02,Privada
Ingeniería en Electricidad,Universidad del Cono Sur de las Américas,Ingeniería,Asunción,Central,2018-10-02,2023-10-02,Privada
Análisis de Sistemas,Universidad Nacional de Pilar,Ciencias Aplicadas,Pilar,Ñeembucu,2018-10-02,2023-10-02,Nacional
Enfermería,Universidad Adventista del Paraguay,Ciencias de la Salud,Asunción,Central,2018-10-02,2023-10-02,Privada
Administración de Empresas,Universidad Católica Nuestra Señora de la Asunción,Ciencias Contables y Administrativas,Asunción,Central,2018-10-02,2023-10-02,Privada
Enfermería,Universidad Nacional de Asunción,Instituto Dr. Andrés Barbero,Concepción,Concepción,2018-10-02,2023-10-02,Nacional
Derecho,Universidad Autónoma de Asunción,"Ciencias Jurídicas, Políticas y Sociales",Asunción,Central,2018-10-15,2023-10-15,Privada
Odontología,Universidad Autónoma de Asunción,Ciencias de la Salud,Asunción,Central,2018-10-15,2023-10-15,Privada
Bioquímica,Universidad del Norte,Ciencias de la Salud,Asunción,Central,2018-11-06,2023-11-06,Privada
Enfermería,Universidad Nacional de Asunción,Enfermería y Obstetricia,Coronel Oviedo,Caaguazú,2018-11-06,2023-11-06,Nacional
Derecho,Universidad Nacional de Asunción,Derecho,San Juan Bautista,Misiones,2018-11-06,2023-11-06,Nacional
Economía,Universidad Católica Nuestra Señora de la Asunción,Ciencias Económicas,Itapúa,Itapúa,2018-11-06,2023-11-06,Privada
Contaduría Pública,Universidad Columbia del Paraguay,-,Asunción-Sede 25 de mayo,Central,2018-11-06,2023-11-06,Privada
Medicina,Universidad Católica Nuestra Señora de la Asunción,Ciencias de la Salud,Asunción,Central,2018-11-06,2023-11-06,Privada
Análisis de Sistemas Informáticos,Universidad Autónoma de Encarnación,"Ciencias, Artes y Tecnología",Encarnación,Itapúa,2018-11-06,2023-11-06,Privada
Fisioterapia y Rehabilitación Integral,Centro Educativo Superior en Salud,Ciencias de la Salud,Ypacaraí,Central,2018-11-19,2023-11-19,Privada
Odontología,Universidad Autónoma del Paraguay,Odontología,Asunción,Central,2018-11-20,2023-11-20,Privada
Ingeniería Agronómica,Universidad Católica Nuestra Señora de la Asunción,Ciencias Agropecuarias,Caaguazú,Caaguazú,2018-11-20,2023-11-20,Privada
